Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,ManageStaff,DatabaseServers,PopulationOfLargestCityWithin20Miles,Gender,SalaryUSD
United States,Microsoft SQL Server,24,Full time employee,Yes,200,1M+ (metropolis),Male,150
Canada,Microsoft SQL Server,8,Full time employee,No,120,1M+ (metropolis),Male,80000
United States,Microsoft SQL Server,11,Full time employee of a consulting/contracting company,No,12,1M+ (metropolis),Male,103000
United States,Microsoft SQL Server,15,Full time employee,Yes,8,1M+ (metropolis),Male,109000
Canada,Microsoft SQL Server,13,Full time employee,No,15,1M+ (metropolis),Female,68600
United States,Microsoft SQL Server,14,Full time employee,Yes,300,"<= 20,000 (town)",Male,105000
United States,Microsoft SQL Server,4,Full time employee,No,300,300K-1M (large city),Male,68800
United States,Microsoft SQL Server,4,Full time employee,No,8,1M+ (metropolis),Male,101000
United Kingdom,Other,3,Full time employee of a consulting/contracting company,Yes,5,100K-299K (city),Dalek,110000
United States,Microsoft SQL Server,18,Full time employee,No,12,100K-299K (city),Male,95000
United States,Microsoft SQL Server,16,Full time employee,No,10,20K-99K (large town),Female,104000
United States,Microsoft SQL Server,14,Full time employee,No,8,300K-1M (large city),Male,118000
United States,Microsoft SQL Server,4,Full time employee,Yes,20,20K-99K (large town),Male,82000
United States,Microsoft SQL Server,8,"Independent consultant, contractor, freelancer,  or company owner",No,50,300K-1M (large city),Male,144760
United States,Microsoft SQL Server,7,Full time employee,No,42,100K-299K (city),Male,87000
United States,Microsoft SQL Server,22,Full time employee,No,500,20K-99K (large town),Male,116000
United States,Microsoft SQL Server,16,Full time employee,Yes,100,300K-1M (large city),Male,149000
United States,Microsoft SQL Server,6,Full time employee,No,10,300K-1M (large city),Male,105000
United States,Microsoft SQL Server,22,Full time employee,No,8,100K-299K (city),Male,106400
United States,Microsoft SQL Server,20,Full time employee,Yes,9,20K-99K (large town),Male,120000
Poland,Microsoft SQL Server,8,Full time employee,Yes,2500,1M+ (metropolis),Male,80000
United States,Microsoft SQL Server,15,Full time employee,No,25,1M+ (metropolis),Male,128000
Poland,Oracle,2,Full time employee,No,3,300K-1M (large city),Non-binary/third gender,50000
Ukraine,Microsoft SQL Server,20,"Independent consultant, contractor, freelancer,  or company owner",Yes,1,1M+ (metropolis),Male,51000
United States,Microsoft SQL Server,15,Full time employee,No,15,100K-299K (city),Male,115000
United States,Microsoft SQL Server,19,Full time employee,No,850,1M+ (metropolis),Male,135000
United States,Microsoft SQL Server,20,Full time employee,No,4,1M+ (metropolis),Male,92000
United States,Microsoft SQL Server,23,Full time employee,No,8,1M+ (metropolis),Male,138000
United States,Microsoft SQL Server,20,Full time employee,No,50,1M+ (metropolis),Male,155000
Poland,Microsoft SQL Server,3,"Independent consultant, contractor, freelancer,  or company owner",No,10,300K-1M (large city),Male,132000
Austria,Microsoft SQL Server,7,Full time employee,Yes,30,20K-99K (large town),Male,77000
Argentina,Microsoft SQL Server,20,Full time employee,No,3000,1M+ (metropolis),Male,20000
United States,Microsoft SQL Server,10,Full time employee,Yes,150,1M+ (metropolis),Male,140000
Canada,Microsoft SQL Server,14,Full time employee,Yes,18,100K-299K (city),Male,84000
United States,Microsoft SQL Server,16,Full time employee,Yes,11,100K-299K (city),Male,105000
United States,Microsoft SQL Server,9,Full time employee,Yes,6,300K-1M (large city),Male,125000
United States,Microsoft SQL Server,20,Full time employee,Yes,70,300K-1M (large city),Male,200000
United States,Microsoft SQL Server,6,Full time employee,No,7,1M+ (metropolis),Male,132000
United States,Microsoft SQL Server,12,Full time employee,No,150,300K-1M (large city),Male,135000
Canada,Oracle,15,Full time employee of a consulting/contracting company,No,100,1M+ (metropolis),Male,83420
United States,Microsoft SQL Server,1,Full time employee,No,10,1M+ (metropolis),Male,130000
Bulgaria,Microsoft SQL Server,9,Full time employee,Yes,12,"<= 20,000 (town)",Male,40000
United States,Microsoft SQL Server,15,Full time employee,Yes,8,100K-299K (city),Male,135000
South Africa,Microsoft SQL Server,23,Full time employee,No,5,1M+ (metropolis),Male,91800
United States,Microsoft SQL Server,8,Full time employee,Yes,1,100K-299K (city),Male,40000
United States,Microsoft SQL Server,6,Full time employee,No,30,1M+ (metropolis),Male,92700
United States,Microsoft SQL Server,24,Full time employee,No,1000,300K-1M (large city),Male,94000
United States,Microsoft SQL Server,15,"Independent consultant, contractor, freelancer,  or company owner",Yes,5,1M+ (metropolis),Male,225000
United States,Microsoft SQL Server,16,Full time employee,Yes,4,1M+ (metropolis),Male,100000
United States,Microsoft SQL Server,20,Full time employee,No,42,1M+ (metropolis),Male,113000
Czech Republic,Microsoft SQL Server,25,"Independent consultant, contractor, freelancer,  or company owner",Yes,25,20K-99K (large town),Male,63000
United States,Microsoft SQL Server,13,Full time employee,No,60,300K-1M (large city),Male,72135
United States,Microsoft SQL Server,20,Full time employee,No,20,1M+ (metropolis),Male,134391
United States,Microsoft SQL Server,18,Full time employee,No,16,1M+ (metropolis),Male,130000
Canada,Microsoft SQL Server,6,Full time employee,No,10,1M+ (metropolis),Male,60000
Uruguay,Microsoft SQL Server,8,Full time employee of a consulting/contracting company,Yes,8,300K-1M (large city),Male,165000
United States,Microsoft SQL Server,20,Full time employee,No,300,1M+ (metropolis),Female,164000
United States,Microsoft SQL Server,6,Full time employee,No,650,300K-1M (large city),Male,60000
United States,Microsoft SQL Server,8,Full time employee,No,3,100K-299K (city),Male,75000
United States,Microsoft SQL Server,20,Full time employee,No,5,1M+ (metropolis),Male,130000
United States,Microsoft SQL Server,8,Full time employee,No,350,100K-299K (city),Male,90000
United States,Microsoft SQL Server,14,Full time employee,No,20,300K-1M (large city),Male,83000
United States,Microsoft SQL Server,20,Full time employee of a consulting/contracting company,No,6,100K-299K (city),Male,80000
United States,Microsoft SQL Server,25,Full time employee,No,18,300K-1M (large city),Male,135000
United States,Microsoft SQL Server,5,Full time employee,No,3,1M+ (metropolis),Male,91000
Sweden,Microsoft SQL Server,12,Full time employee,No,12,300K-1M (large city),Male,80000
Canada,Microsoft SQL Server,20,Full time employee,No,50,1M+ (metropolis),Male,70000
United States,Microsoft SQL Server,25,Full time employee,No,284,100K-299K (city),Male,118000
United States,Microsoft SQL Server,25,"Independent consultant, contractor, freelancer,  or company owner",No,110,1M+ (metropolis),Male,195000
United States,Microsoft SQL Server,15,Full time employee,No,7,300K-1M (large city),Male,130000
Romania,Microsoft SQL Server,7,Full time employee,Yes,60,1M+ (metropolis),Male,50273
United States,Microsoft SQL Server,10,Full time employee,No,150,20K-99K (large town),Male,90000
United States,Microsoft SQL Server,5,Full time employee of a consulting/contracting company,No,35,300K-1M (large city),Male,80000
United States,Microsoft SQL Server,20,Full time employee,No,40,1M+ (metropolis),Male,100000
United States,Microsoft SQL Server,8,Full time employee,No,5,300K-1M (large city),Male,80000
United States,Microsoft SQL Server,7,Full time employee,Yes,50,1M+ (metropolis),Male,100000
United States,Microsoft SQL Server,7,Full time employee,No,20,100K-299K (city),Male,92000
United States,Microsoft SQL Server,10,Full time employee,No,74,20K-99K (large town),Male,71000
United States,Microsoft SQL Server,5,Full time employee,Yes,20,20K-99K (large town),Male,100000
United States,Microsoft SQL Server,12,Full time employee,No,6,300K-1M (large city),Male,87400
United Kingdom,Microsoft SQL Server,4,Full time employee,No,67,100K-299K (city),Male,38197
United States,Microsoft SQL Server,8,Full time employee,No,12,20K-99K (large town),Male,65000
United States,Microsoft SQL Server,8,Full time employee,Yes,100,1M+ (metropolis),Male,128000
United States,Microsoft SQL Server,19,Full time employee,No,90,20K-99K (large town),Male,130000
Canada,Microsoft SQL Server,18,Full time employee of a consulting/contracting company,No,4,1M+ (metropolis),Male,833600
United States,Microsoft SQL Server,5,Full time employee,No,80,100K-299K (city),Male,63000
United States,Microsoft SQL Server,6,Full time employee,No,10,300K-1M (large city),Female,77000
United States,Microsoft SQL Server,15,Full time employee,No,130,300K-1M (large city),Male,107000
United States,Microsoft SQL Server,18,Full time employee,Yes,5,300K-1M (large city),Female,102000
United States,Other,5,Full time employee,Yes,150,300K-1M (large city),Male,99350
United States,Microsoft SQL Server,20,Full time employee,No,30,1M+ (metropolis),Male,171000
United States,Microsoft SQL Server,16,Full time employee,No,34,300K-1M (large city),Male,100000
Portugal,Microsoft SQL Server,5,Full time employee,No,3,100K-299K (city),Male,32600
United States,Microsoft SQL Server,12,Full time employee of a consulting/contracting company,No,500,1M+ (metropolis),Male,160000
United States,Microsoft SQL Server,0,Full time employee,No,12,100K-299K (city),Male,70000
New Zealand,Microsoft SQL Server,12,"Independent consultant, contractor, freelancer,  or company owner",Yes,1300,1M+ (metropolis),Male,178000
United States,Microsoft SQL Server,10,Full time employee,Yes,12,300K-1M (large city),Male,180000
Serbia and Montenegro,Microsoft SQL Server,12,Full time employee,No,3,100K-299K (city),Male,25000
United States,Microsoft SQL Server,16,Full time employee,Yes,50,1M+ (metropolis),Male,150000
Canada,Microsoft SQL Server,20,Full time employee,No,5,1M+ (metropolis),Male,85000
United States,Microsoft SQL Server,14,Full time employee,No,10,20K-99K (large town),Male,105000
United States,Microsoft SQL Server,23,Full time employee of a consulting/contracting company,No,3,1M+ (metropolis),Female,90000
United States,Microsoft SQL Server,8,Full time employee,No,10,1M+ (metropolis),Male,115000
United States,Microsoft SQL Server,12,Full time employee,Yes,10,1M+ (metropolis),Male,85000
Canada,Microsoft SQL Server,14,Full time employee,No,500,1M+ (metropolis),Male,78000
United States,Microsoft SQL Server,15,Full time employee,No,16,100K-299K (city),Male,82000
Canada,Microsoft SQL Server,7,Full time employee,No,27,100K-299K (city),Male,61813
United States,Microsoft SQL Server,25,Full time employee,Yes,350,1M+ (metropolis),Male,145000
United States,Microsoft SQL Server,11,Full time employee,No,20,100K-299K (city),Male,85000
United States,Microsoft SQL Server,20,Full time employee,Yes,1400,100K-299K (city),Male,141750
United States,Microsoft SQL Server,20,Full time employee,No,4,1M+ (metropolis),Male,130000
United States,Microsoft SQL Server,15,"Independent consultant, contractor, freelancer,  or company owner",No,15,100K-299K (city),Male,200000
Brazil,Microsoft SQL Server,18,"Independent consultant, contractor, freelancer,  or company owner",Yes,8,1M+ (metropolis),Male,30000
United Kingdom,Microsoft SQL Server,12,Full time employee,No,200,300K-1M (large city),Male,79060
United States,Microsoft SQL Server,18,Full time employee,Yes,100,300K-1M (large city),Male,145000
United States,Microsoft SQL Server,20,"Independent consultant, contractor, freelancer,  or company owner",No,30,1M+ (metropolis),Male,125000
Canada,Microsoft SQL Server,4,Full time employee,No,4,300K-1M (large city),Male,75
United States,Microsoft SQL Server,25,Full time employee,Yes,75,300K-1M (large city),Prefer not to say,115000
United States,Microsoft SQL Server,19,Full time employee,Yes,6,20K-99K (large town),Male,110000
United States,Microsoft SQL Server,25,Full time employee,No,200,300K-1M (large city),Male,98966
United Kingdom,MySQL/MariaDB,10,Full time employee,Yes,20,300K-1M (large city),Male,145000
United States,Microsoft SQL Server,15,Full time employee,No,10,1M+ (metropolis),Male,95000
United States,Oracle,3,Full time employee,No,2,1M+ (metropolis),Male,85000
United States,Microsoft SQL Server,10,Full time employee,No,6000,1M+ (metropolis),Female,110000
United States,Microsoft SQL Server,20,Full time employee,No,15,1M+ (metropolis),Female,120000
United States,Microsoft SQL Server,15,"Independent consultant, contractor, freelancer,  or company owner",No,25,1M+ (metropolis),Non-binary/third gender,220000
Ecuador,Microsoft SQL Server,10,Full time employee,Yes,15,100K-299K (city),Male,40000
United States,Microsoft SQL Server,13,Full time employee,No,30,300K-1M (large city),Male,123000
United States,Microsoft SQL Server,9,Full time employee,No,150,1M+ (metropolis),Male,105000
United States,Microsoft SQL Server,9,Full time employee,No,50,300K-1M (large city),Male,118450
United States,Microsoft SQL Server,3,Full time employee,No,50,1M+ (metropolis),Male,70000
Canada,Microsoft SQL Server,20,Full time employee,No,4,1M+ (metropolis),Male,84000
United States,Microsoft SQL Server,7,Full time employee,No,10,100K-299K (city),Male,90000
United States,Microsoft SQL Server,1,Full time employee,No,7,100K-299K (city),Male,70000
United Kingdom,Microsoft SQL Server,15,Full time employee,Yes,300,20K-99K (large town),Male,80000
United States,Microsoft SQL Server,20,Full time employee,No,100,1M+ (metropolis),Male,179000
United States,Microsoft SQL Server,20,Full time employee,No,10,100K-299K (city),Male,105000
United States,Microsoft SQL Server,11,Full time employee,No,10,1M+ (metropolis),Male,92000
United States,Microsoft SQL Server,3,Full time employee,No,10,300K-1M (large city),Male,75000
United States,Microsoft SQL Server,10,Full time employee,No,17,100K-299K (city),Male,86200
United States,Microsoft SQL Server,20,Full time employee,No,8,300K-1M (large city),Male,86174
Canada,Microsoft SQL Server,20,Full time employee,No,100,300K-1M (large city),Male,81000
United States,Microsoft SQL Server,12,Full time employee,No,20,300K-1M (large city),Male,80000
United Kingdom,Microsoft SQL Server,15,"Independent consultant, contractor, freelancer,  or company owner",No,444,1M+ (metropolis),Male,105387
Canada,Microsoft SQL Server,15,Full time employee,No,14,1M+ (metropolis),Female,56850
United States,Microsoft SQL Server,25,Full time employee,Yes,30,1M+ (metropolis),Male,140000
United States,MongoDB,2,Full time employee,No,100,20K-99K (large town),Male,106000
United States,Microsoft SQL Server,19,Full time employee,Yes,100,100K-299K (city),Male,135000
Canada,Microsoft SQL Server,15,Full time employee,No,80,100K-299K (city),Male,70000
United States,Microsoft SQL Server,22,Full time employee,Yes,85,300K-1M (large city),Male,139000
Canada,Microsoft SQL Server,20,Full time employee,No,45,300K-1M (large city),Male,93000
Spain,Microsoft SQL Server,8,Full time employee,No,100,1M+ (metropolis),Male,47000
United States,Microsoft SQL Server,25,Full time employee,Yes,25,300K-1M (large city),Male,105000
Turkey,Microsoft SQL Server,9,Full time employee,No,150,1M+ (metropolis),Male,33000
New Zealand,Microsoft SQL Server,18,Full time employee,No,10,300K-1M (large city),Male,95290
United States,Microsoft SQL Server,8,Full time employee,Yes,85,300K-1M (large city),Male,123000
United States,Microsoft SQL Server,20,Full time employee,Yes,5,100K-299K (city),Female,97000
United States,Microsoft SQL Server,3,Full time employee,No,6,300K-1M (large city),Male,92000
United States,Microsoft SQL Server,18,Full time employee,Yes,33,"<= 20,000 (town)",Male,91371
United States,Microsoft SQL Server,31,Full time employee,Yes,8,300K-1M (large city),Male,158566
United States,Microsoft SQL Server,18,Full time employee,No,73,1M+ (metropolis),Male,138000
United States,Microsoft SQL Server,20,Full time employee of a consulting/contracting company,No,1000,1M+ (metropolis),Female,145000
United States,Microsoft SQL Server,15,Full time employee,No,18,300K-1M (large city),Male,110000
United States,Microsoft SQL Server,10,Full time employee,No,5,1M+ (metropolis),Male,115000
France,Oracle,20,Full time employee,Yes,4000,1M+ (metropolis),Male,133000
Brazil,Microsoft SQL Server,3,Full time employee of a consulting/contracting company,No,150,1M+ (metropolis),Male,65000
United States,Microsoft SQL Server,2,Full time employee,No,40,20K-99K (large town),Male,77000
United Kingdom,Microsoft SQL Server,30,Full time employee,No,6,1M+ (metropolis),Male,70000
United States,Microsoft SQL Server,10,Full time employee,No,115,300K-1M (large city),Male,90000
United States,Microsoft SQL Server,5,Full time employee,No,25,100K-299K (city),Male,89000
United States,Microsoft SQL Server,20,Full time employee,No,165,1M+ (metropolis),Male,110000
United States,Microsoft SQL Server,15,Full time employee,Yes,50,100K-299K (city),Male,115500
United States,Microsoft SQL Server,10,Full time employee,No,2,1M+ (metropolis),Female,110000
United States,Microsoft SQL Server,1,Full time employee,Yes,5,300K-1M (large city),Male,60000
United States,Microsoft SQL Server,18,"Independent consultant, contractor, freelancer,  or company owner",No,0,100K-299K (city),Male,185000
South Africa,Microsoft SQL Server,15,"Independent consultant, contractor, freelancer,  or company owner",Yes,4,300K-1M (large city),Male,72695
United States,Microsoft SQL Server,22,Full time employee,No,60,1M+ (metropolis),Male,129000
United States,Microsoft SQL Server,22,Full time employee,No,50,300K-1M (large city),Male,110000
United States,Microsoft SQL Server,10,Full time employee,No,7,1M+ (metropolis),Male,101000
United States,Microsoft SQL Server,12,"Independent consultant, contractor, freelancer,  or company owner",No,6,1M+ (metropolis),Male,350000
United States,Microsoft SQL Server,15,Full time employee,No,12,1M+ (metropolis),Male,106500
United States,Microsoft SQL Server,8,Full time employee,No,250,300K-1M (large city),Male,95000
United States,Microsoft SQL Server,20,Full time employee,No,10,300K-1M (large city),Male,120000
United States,Microsoft SQL Server,5,Full time employee,No,5,300K-1M (large city),Male,68000
United States,Microsoft SQL Server,5,Full time employee,No,4,1M+ (metropolis),Male,90000
United States,Microsoft SQL Server,16,Full time employee,Yes,5,100K-299K (city),Male,162788
United States,Microsoft SQL Server,25,Full time employee,Yes,200,1M+ (metropolis),Male,209000
United States,Microsoft SQL Server,12,Full time employee,No,60,1M+ (metropolis),Male,90000
United Kingdom,Microsoft SQL Server,5,Full time employee,Yes,5,100K-299K (city),Male,36000
South Africa,Microsoft SQL Server,12,Full time employee of a consulting/contracting company,No,150,300K-1M (large city),Male,75000
United States,Microsoft SQL Server,14,Full time employee,No,8,100K-299K (city),Male,100000
United States,Microsoft SQL Server,16,Full time employee,No,4000,300K-1M (large city),Male,112000
United Kingdom,Microsoft SQL Server,15,Full time employee,Yes,130,1M+ (metropolis),Male,70000
United States,Azure SQL DB,3,Full time employee,No,0,300K-1M (large city),Male,140000
United States,Microsoft SQL Server,18,Full time employee,Yes,100,300K-1M (large city),Male,137000
United States,Microsoft SQL Server,18,Full time employee,No,6,1M+ (metropolis),Male,130000
United States,Microsoft SQL Server,8,Full time employee,No,10,"<= 20,000 (town)",Male,92500
United States,Microsoft SQL Server,10,Full time employee,Yes,300,100K-299K (city),Male,125000
United States,Microsoft SQL Server,12,Full time employee,No,90,1M+ (metropolis),Male,110000
United States,Microsoft SQL Server,25,Full time employee,No,17,1M+ (metropolis),Male,120000
United States,Microsoft SQL Server,5,Full time employee of a consulting/contracting company,No,20,1M+ (metropolis),Male,78000
United States,Microsoft SQL Server,16,Full time employee,No,30,100K-299K (city),Male,106000
United States,Microsoft SQL Server,19,Full time employee,Yes,10,"<= 20,000 (town)",Male,135000
United States,Microsoft SQL Server,15,Full time employee,No,12,300K-1M (large city),Male,105000
United States,Microsoft SQL Server,25,Full time employee,No,200,1M+ (metropolis),Male,116300
United States,Oracle,20,Full time employee,Yes,65,300K-1M (large city),Male,125000
United States,Microsoft SQL Server,15,Full time employee,No,25,20K-99K (large town),Male,105000
United States,Microsoft SQL Server,8,Full time employee of a consulting/contracting company,No,2,"<= 20,000 (town)",Male,120000
United States,Microsoft SQL Server,18,Full time employee,No,80,300K-1M (large city),Male,114000
United States,Microsoft SQL Server,15,Full time employee,No,5,100K-299K (city),Male,67000
United States,Microsoft SQL Server,22,Full time employee,Yes,100,1M+ (metropolis),Male,153300
United States,Oracle,22,"Independent consultant, contractor, freelancer,  or company owner",No,40,300K-1M (large city),Male,150000
Canada,Microsoft SQL Server,19,Full time employee,No,5,1M+ (metropolis),Male,66000
United States,Microsoft SQL Server,8,Full time employee,No,50,100K-299K (city),Male,110000
United States,Microsoft SQL Server,5,Full time employee,No,28,100K-299K (city),Female,78000
United States,Microsoft SQL Server,15,Full time employee,No,7,100K-299K (city),Male,82804
United States,Microsoft SQL Server,5,Full time employee,Yes,4,1M+ (metropolis),Male,100000
United States,Microsoft SQL Server,22,Full time employee,No,6,100K-299K (city),Male,103000
United States,Microsoft SQL Server,4,Full time employee,Yes,2,100K-299K (city),Female,95000
Ireland,Microsoft SQL Server,20,Full time employee,Yes,20,1M+ (metropolis),Non-binary/third gender,105000
United States,Microsoft SQL Server,10,Full time employee,No,140,20K-99K (large town),Male,120000
United States,Microsoft SQL Server,8,Full time employee,Yes,40,1M+ (metropolis),Male,145000
United States,Microsoft SQL Server,12,Full time employee,Yes,20,300K-1M (large city),Male,130000
United States,Oracle,15,Full time employee,No,65,300K-1M (large city),Male,105000
United States,Microsoft SQL Server,14,Full time employee of a consulting/contracting company,No,125,300K-1M (large city),Male,130000
United States,Microsoft SQL Server,5,"Independent consultant, contractor, freelancer,  or company owner",No,3000,1M+ (metropolis),Male,120000
Russia,Oracle,5,Full time employee,No,5,1M+ (metropolis),Male,60000
United States,Microsoft SQL Server,23,Full time employee,No,10,"<= 20,000 (town)",Male,98259
United States,Microsoft SQL Server,8,Full time employee,No,3,20K-99K (large town),Male,83200
United States,Microsoft SQL Server,30,Full time employee,Yes,3,100K-299K (city),Male,130000
Greece,Microsoft SQL Server,20,Full time employee,No,10,1M+ (metropolis),Male,30000
United States,Microsoft SQL Server,3,Full time employee,No,10,100K-299K (city),Male,85000
United States,Microsoft SQL Server,15,Full time employee,No,800,1M+ (metropolis),Male,115000
United States,Microsoft SQL Server,20,Full time employee,No,15,300K-1M (large city),Male,125000
United States,Microsoft SQL Server,1,Full time employee of a consulting/contracting company,No,3,1M+ (metropolis),Male,65000
Peru,Microsoft SQL Server,8,Full time employee,No,200,1M+ (metropolis),Male,26000
United States,Microsoft SQL Server,24,Full time employee,Yes,100,300K-1M (large city),Male,110000
United States,Microsoft SQL Server,20,Full time employee,Yes,40,300K-1M (large city),Male,137000
United States,Microsoft SQL Server,20,Full time employee,No,50,1M+ (metropolis),Prefer not to say,97000
United States,Microsoft SQL Server,5,Full time employee of a consulting/contracting company,No,100,100K-299K (city),Male,93000
United States,Microsoft SQL Server,17,Full time employee,Yes,110,300K-1M (large city),Male,90000
United States,Microsoft SQL Server,13,Full time employee,No,63,20K-99K (large town),Female,106575
United States,Microsoft SQL Server,10,Full time employee,No,100,300K-1M (large city),Male,116000
United States,Microsoft SQL Server,25,Full time employee,No,18,300K-1M (large city),Male,107000
United Kingdom,Microsoft SQL Server,20,"Independent consultant, contractor, freelancer,  or company owner",No,25,1M+ (metropolis),Male,137000
United States,Microsoft SQL Server,20,Full time employee,Yes,50,1M+ (metropolis),Male,167000
United States,Microsoft SQL Server,9,Full time employee,No,70,300K-1M (large city),Male,95000
United States,Microsoft SQL Server,25,Full time employee,No,20,300K-1M (large city),Male,118000
United States,Microsoft SQL Server,10,Full time employee,Yes,200,1M+ (metropolis),Male,137500
United States,Microsoft SQL Server,10,Full time employee,No,2,1M+ (metropolis),Male,70000
Netherlands,Microsoft SQL Server,7,Full time employee,No,8,100K-299K (city),Male,57500
Germany,Microsoft SQL Server,15,Full time employee,Yes,6,20K-99K (large town),Prefer not to say,80000
United States,Microsoft SQL Server,20,Full time employee,No,30,1M+ (metropolis),Female,120000
United States,Microsoft SQL Server,8,Full time employee,No,400,100K-299K (city),Male,110000
United States,Microsoft SQL Server,12,Full time employee,No,38,300K-1M (large city),Male,120000
United States,Microsoft SQL Server,20,Full time employee,No,350,300K-1M (large city),Female,108000
United States,Microsoft SQL Server,12,Full time employee,No,150,300K-1M (large city),Male,149000
United States,Microsoft SQL Server,6,Full time employee of a consulting/contracting company,No,200,1M+ (metropolis),Male,91660
United States,Microsoft SQL Server,4,Full time employee of a consulting/contracting company,No,100,300K-1M (large city),Male,72000
United States,Microsoft SQL Server,3,Full time employee,No,100,300K-1M (large city),Male,93000
United States,Microsoft SQL Server,7,Full time employee,No,4,300K-1M (large city),Male,87000
United States,Microsoft SQL Server,7,Full time employee,Yes,10,300K-1M (large city),Male,125000
United States,Microsoft SQL Server,24,"Independent consultant, contractor, freelancer,  or company owner",Yes,28,1M+ (metropolis),Male,425000
United States,Microsoft SQL Server,15,Full time employee,No,5000,100K-299K (city),Male,135000
United States,Microsoft SQL Server,7,"Independent consultant, contractor, freelancer,  or company owner",No,450,20K-99K (large town),Male,31200
United States,Microsoft SQL Server,11,Full time employee,No,1,1M+ (metropolis),Male,141000
United States,Microsoft SQL Server,13,Full time employee,Yes,350,1M+ (metropolis),Male,140000
United States,Microsoft SQL Server,14,Full time employee,No,30,300K-1M (large city),Female,129000
United States,Microsoft SQL Server,6,Full time employee,Yes,4,1M+ (metropolis),Male,107000
United States,Microsoft SQL Server,20,Full time employee,No,12,100K-299K (city),Male,127000
United States,Microsoft SQL Server,15,Full time employee,No,9,1M+ (metropolis),Female,100200
United States,Microsoft SQL Server,20,Full time employee,No,6,20K-99K (large town),Male,127500
United States,Microsoft SQL Server,12,Full time employee,No,3,20K-99K (large town),Male,103000
United States,Microsoft SQL Server,3,Full time employee of a consulting/contracting company,No,30,300K-1M (large city),Male,95000
United States,Microsoft SQL Server,30,Full time employee,No,12,20K-99K (large town),Male,91000
United States,Microsoft SQL Server,15,Full time employee,No,30,20K-99K (large town),Male,100000
United States,Microsoft SQL Server,25,Full time employee,No,200,300K-1M (large city),Male,112000
United States,Microsoft SQL Server,20,Full time employee,No,8,1M+ (metropolis),Male,104000
United States,Microsoft SQL Server,13,Full time employee,No,4,100K-299K (city),Male,60000
United States,Microsoft SQL Server,14,Full time employee,Yes,2,100K-299K (city),Male,96000
United States,PostgreSQL,1,Full time employee,Yes,4,1M+ (metropolis),Male,190000
United States,Microsoft SQL Server,10,Full time employee,No,30,300K-1M (large city),Male,90000
United States,Microsoft SQL Server,11,Full time employee,No,4,100K-299K (city),Male,78000
United States,Microsoft SQL Server,7,Full time employee,No,10,300K-1M (large city),Male,80000
Ireland,Microsoft SQL Server,14,Full time employee,No,30,"<= 20,000 (town)",Male,77500
United States,Microsoft SQL Server,8,Full time employee,No,1,20K-99K (large town),Male,92000
United States,Microsoft SQL Server,10,Full time employee,No,8,1M+ (metropolis),Male,139000
United Kingdom,Microsoft SQL Server,10,Full time employee,No,20,300K-1M (large city),Male,65890
United States,Microsoft SQL Server,6,"Independent consultant, contractor, freelancer,  or company owner",No,102,1M+ (metropolis),Male,110000
United States,Microsoft SQL Server,15,Full time employee,No,140,300K-1M (large city),Male,118000
United States,Microsoft SQL Server,20,Full time employee,No,60,1M+ (metropolis),Male,115000
United States,Microsoft SQL Server,14,Full time employee,No,4,1M+ (metropolis),Male,100093
United States,Microsoft SQL Server,20,Full time employee,No,53,300K-1M (large city),Female,125000
Canada,Microsoft SQL Server,10,Full time employee,No,3,1M+ (metropolis),Male,82500
United States,Microsoft SQL Server,15,"Independent consultant, contractor, freelancer,  or company owner",No,4,300K-1M (large city),Male,156000
United States,Microsoft SQL Server,20,Full time employee,Yes,60,300K-1M (large city),Female,124000
United States,Microsoft SQL Server,20,Full time employee,No,80,1M+ (metropolis),Male,135000
United States,Microsoft SQL Server,5,Full time employee,Yes,2,300K-1M (large city),Male,72000
United Kingdom,Microsoft SQL Server,25,Full time employee,Yes,350,100K-299K (city),Male,79000
United States,Microsoft SQL Server,10,Full time employee,No,10,20K-99K (large town),Male,75000
United States,Microsoft SQL Server,4,Full time employee,No,15,300K-1M (large city),Female,82400
United States,Microsoft SQL Server,6,Full time employee,No,5,20K-99K (large town),Female,73855
United States,Microsoft SQL Server,9,Full time employee,No,15,20K-99K (large town),Male,66000
Canada,Microsoft SQL Server,4,Full time employee,No,3,1M+ (metropolis),Male,57000
United States,Microsoft SQL Server,10,Full time employee,No,30,1M+ (metropolis),Male,107814
United States,Microsoft SQL Server,3,Full time employee,No,10,1M+ (metropolis),Male,120000
Canada,Microsoft SQL Server,18,Full time employee,Yes,300,1M+ (metropolis),Male,71585
United States,Microsoft SQL Server,8,Full time employee,No,3,300K-1M (large city),Male,90000
United States,Microsoft SQL Server,15,Full time employee,No,50,1M+ (metropolis),Male,119500
United States,Microsoft SQL Server,9,Full time employee,No,19,1M+ (metropolis),Male,115000
United Kingdom,Microsoft SQL Server,6,Full time employee,No,30,300K-1M (large city),Male,62000
United States,Microsoft SQL Server,14,Full time employee,No,60,300K-1M (large city),Male,145600
United States,Microsoft SQL Server,3,Full time employee,No,14,300K-1M (large city),Male,80000
United States,Microsoft SQL Server,6,Full time employee,No,2,1M+ (metropolis),Male,78000
United States,Microsoft SQL Server,22,Full time employee,Yes,25,300K-1M (large city),Male,168000
Canada,Microsoft SQL Server,8,Full time employee,Yes,3,1M+ (metropolis),Male,63000
